concept,tradition,n_now,home_n,home_top,gold_convicted
inner_silence,hinduism,7,252,"taoism:115, neoplatonism:46, christian_mysticism:22",False
wu_wei,hinduism,7,232,"taoism:225, christian_mysticism:3, western_esoteric:3",False
prayer,hinduism,7,437,"greek_mystery:116, zoroastrianism:104, egyptian:100",False
alchemical_work,celtic,7,158,"christian_mysticism:80, renaissance_hermeticism:27, sufism:14",False
hidden_sayings,hinduism,6,496,"jewish_mysticism:78, greek_mystery:75, gnosticism:64",False
hidden_sayings,native_american,6,496,"jewish_mysticism:78, greek_mystery:75, gnosticism:64",False
rejection_of_hypocrisy,hinduism,6,251,"taoism:76, christian_mysticism:32, zoroastrianism:30",False
archons,western_esoteric,6,64,"christian_mysticism:19, hermeticism:11, gnosticism:9",False
body_as_obstacle,mandaean,6,569,"neoplatonism:259, christian_mysticism:79, renaissance_hermeticism:44",False
divine_light,buddhism,6,638,"egyptian:112, christian_mysticism:107, neoplatonism:97",False
ritual_fire,celtic,6,183,"greek_mystery:97, egyptian:40, zoroastrianism:24",False
heroic_furor,finnic,6,124,"renaissance_hermeticism:108, christian_mysticism:4, greek_mystery:4",False
microcosm_macrocosm,finnic,6,368,"christian_mysticism:102, neoplatonism:56, renaissance_hermeticism:47",False
forbidden_knowledge,celtic,6,43,"jewish_mysticism:16, christian_mysticism:10, greek_mystery:7",False
renunciation_of_wealth,mandaean,5,158,"taoism:55, greek_mystery:22, gnosticism:16",False
rejection_of_hypocrisy,norse,5,251,"taoism:76, christian_mysticism:32, zoroastrianism:30",False
anthropomorphism,hinduism,5,755,"egyptian:281, greek_mystery:174, jewish_mysticism:53",False
divine_marriage,native_american,5,122,"christian_mysticism:28, greek_mystery:27, gnosticism:16",False
body_as_obstacle,finnic,5,569,"neoplatonism:259, christian_mysticism:79, renaissance_hermeticism:44",False
spiritual_ascent,celtic,5,755,"neoplatonism:211, egyptian:147, western_esoteric:83",False
numerical_mysticism,norse,5,351,"jewish_mysticism:75, egyptian:56, neoplatonism:47",False
psychopomp_journey,norse,5,332,"egyptian:261, greek_mystery:21, zoroastrianism:16",False
asha_cosmic_order,western_esoteric,5,162,"zoroastrianism:126, egyptian:28, greek_mystery:4",False
fasting_and_prayer,celtic,5,85,"greek_mystery:29, zoroastrianism:15, christian_mysticism:10",False
letters_of_creation,gnosticism,5,34,jewish_mysticism:34,False
letters_of_creation,renaissance_hermeticism,5,34,jewish_mysticism:34,False
letter_meditation,western_esoteric,5,25,jewish_mysticism:25,False
inner_silence,norse,5,252,"taoism:115, neoplatonism:46, christian_mysticism:22",False
divine_madness,celtic,5,124,"renaissance_hermeticism:65, greek_mystery:20, western_esoteric:13",False
angra_mainyu_principle,western_esoteric,5,97,"zoroastrianism:94, christian_mysticism:3",False
aeons,western_esoteric,5,42,"hermeticism:11, greek_mystery:10, neoplatonism:8",False
separation_from_source,celtic,5,299,"christian_mysticism:74, neoplatonism:60, renaissance_hermeticism:45",False
separation_from_source,mandaean,5,299,"christian_mysticism:74, neoplatonism:60, renaissance_hermeticism:45",False
divine_intoxication,finnic,5,70,"renaissance_hermeticism:27, western_esoteric:12, greek_mystery:10",False
forbidden_knowledge,norse,5,43,"jewish_mysticism:16, christian_mysticism:10, greek_mystery:7",False
